Entry	Entry name	Protein names	Domain [FT]
Q70J99	UN13D_HUMAN	Protein unc-13 homolog D (Munc13-4)	DOMAIN 98..221;  /note="C2 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00041"; DOMAIN 557..677;  /note="MHD1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00587"; DOMAIN 788..895;  /note="MHD2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00588"; DOMAIN 912..1019;  /note="C2 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00041"
P11172	UMPS_HUMAN	Uridine 5'-monophosphate synthase (UMP synthase) [Includes: Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10); Orotidine 5'-phosphate decarboxylase (ODC) (EC 4.1.1.23) (OMPdecase)]	
Q8N2C7	UNC80_HUMAN	Protein unc-80 homolog	
Q5CZA5	ZN805_HUMAN	Zinc finger protein 805	DOMAIN 13..84;  /note="KRAB";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00119"
Q9H7R0	ZN442_HUMAN	Zinc finger protein 442	DOMAIN 29..115;  /note="KRAB";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00119"
Q8NB42	ZN527_HUMAN	Zinc finger protein 527	DOMAIN 14..123;  /note="KRAB";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00119"
Q3MIS6	ZN528_HUMAN	Zinc finger protein 528	DOMAIN 8..79;  /note="KRAB";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00119"
Q15631	TSN_HUMAN	Translin (EC 3.1.-.-) (Component 3 of promoter of RISC) (C3PO)	
Q99598	TSNAX_HUMAN	Translin-associated protein X (Translin-associated factor X)	
Q01534	TSPY1_HUMAN	Testis-specific Y-encoded protein 1 (Cancer/testis antigen 78) (CT78)	
Q9BXA7	TSSK1_HUMAN	Testis-specific serine/threonine-protein kinase 1 (TSK-1) (TSK1) (TSSK-1) (Testis-specific kinase 1) (EC 2.7.11.1) (Serine/threonine-protein kinase 22A)	DOMAIN 12..272;  /note="Protein kinase";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q9Y5U2	TSSC4_HUMAN	Protein TSSC4 (Tumor-suppressing STF cDNA 4 protein) (Tumor-suppressing subchromosomal transferable fragment candidate gene 4 protein)	
Q9BXA6	TSSK6_HUMAN	Testis-specific serine/threonine-protein kinase 6 (TSK-6) (TSSK-6) (Testis-specific kinase 6) (EC 2.7.11.1) (Cancer/testis antigen 72) (CT72) (Serine/threonine-protein kinase SSTK) (Small serine/threonine kinase)	DOMAIN 12..267;  /note="Protein kinase";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"
Q9UK11	ZN223_HUMAN	Zinc finger protein 223	DOMAIN 8..78;  /note="KRAB";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00119"
O14905	WNT9B_HUMAN	Protein Wnt-9b (Protein Wnt-14b) (Protein Wnt-15)	
P17023	ZNF19_HUMAN	Zinc finger protein 19 (Zinc finger protein KOX12)	DOMAIN 14..85;  /note="KRAB";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00119"
Q9ULT0	TTC7A_HUMAN	Tetratricopeptide repeat protein 7A (TPR repeat protein 7A)	
Q3MJ62	ZSC23_HUMAN	Zinc finger and SCAN domain-containing protein 23 (Zinc finger protein 390) (Zinc finger protein 453)	DOMAIN 48..130;  /note="SCAN box";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00187"
Q99536	VAT1_HUMAN	Synaptic vesicle membrane protein VAT-1 homolog (EC 1.-.-.-)	
Q9UPY5	XCT_HUMAN	Cystine/glutamate transporter (Amino acid transport system xc-) (Calcium channel blocker resistance protein CCBR1) (Solute carrier family 7 member 11) (xCT)	
Q9Y4I5	MTL5_HUMAN	Tesmin (Metallothionein-like 5, testis-specific) (Testis-specific metallothionein-like protein)	DOMAIN 292..405;  /note="CRC";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00971"
O15439	MRP4_HUMAN	Multidrug resistance-associated protein 4 (ATP-binding cassette sub-family C member 4) (MRP/cMOAT-related ABC transporter) (Multi-specific organic anion transporter B) (MOAT-B)	DOMAIN 92..377;  /note="ABC transmembrane type-1 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00441"; DOMAIN 410..633;  /note="ABC transporter 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00434"; DOMAIN 714..1005;  /note="ABC transmembrane type-1 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00441"; DOMAIN 1041..1274;  /note="ABC transporter 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00434"
Q5TGP6	MROH9_HUMAN	Maestro heat-like repeat-containing protein family member 9	
P22103	PNEU_HUMAN	Pneumadin (PNM)	
Q86UW6	N4BP2_HUMAN	NEDD4-binding protein 2 (N4BP2) (EC 3.-.-.-) (BCL-3-binding protein)	DOMAIN 46..89;  /note="CUE";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00468"; DOMAIN 1691..1770;  /note="Smr";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00321"
Q8IXW5	RPAP2_HUMAN	Putative RNA polymerase II subunit B1 CTD phosphatase RPAP2 (EC 3.1.3.16) (RNA polymerase II-associated protein 2)	
Q96AX2	RAB37_HUMAN	Ras-related protein Rab-37	
P10826	RARB_HUMAN	Retinoic acid receptor beta (RAR-beta) (HBV-activated protein) (Nuclear receptor subfamily 1 group B member 2) (RAR-epsilon)	DOMAIN 183..417;  /note="NR LBD";  /evidence="ECO:0000255|PROSITE-ProRule:PRU01189"
P29350	PTN6_HUMAN	Tyrosine-protein phosphatase non-receptor type 6 (EC 3.1.3.48) (Hematopoietic cell protein-tyrosine phosphatase) (Protein-tyrosine phosphatase 1C) (PTP-1C) (Protein-tyrosine phosphatase SHP-1) (SH-PTP1)	DOMAIN 4..100;  /note="SH2 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 110..213;  /note="SH2 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 244..515;  /note="Tyrosine-protein phosphatase";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00160"
P61313	RL15_HUMAN	60S ribosomal protein L15 (Large ribosomal subunit protein eL15)	
Q9BQ04	RBM4B_HUMAN	RNA-binding protein 4B (RNA-binding motif protein 30) (RNA-binding motif protein 4B) (RNA-binding protein 30)	DOMAIN 2..72;  /note="RRM 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00176"; DOMAIN 78..148;  /note="RRM 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00176"
Q14498	RBM39_HUMAN	RNA-binding protein 39 (CAPER alpha) (Hepatocellular carcinoma protein 1) (RNA-binding motif protein 39) (RNA-binding region-containing protein 2) (Splicing factor HCC1)	DOMAIN 153..230;  /note="RRM 1";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00176"; DOMAIN 250..328;  /note="RRM 2";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00176"; DOMAIN 445..508;  /note="RRM 3";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00176"
Q9NZH5	PTTG2_HUMAN	Securin-2 (Pituitary tumor-transforming gene 2 protein)	
Q3LXA3	TKFC_HUMAN	Triokinase/FMN cyclase (Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing)) [Includes: ATP-dependent dihydroxyacetone kinase (DHA kinase) (EC 2.7.1.28) (EC 2.7.1.29) (Glycerone kinase) (Triokinase) (Triose kinase); FAD-AMP lyase (cyclizing) (EC 4.6.1.15) (FAD-AMP lyase (cyclic FMN forming)) (FMN cyclase)]	DOMAIN 9..336;  /note="DhaK";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00814"; DOMAIN 372..571;  /note="DhaL";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00813"
Q9GZZ9	UBA5_HUMAN	Ubiquitin-like modifier-activating enzyme 5 (Ubiquitin-activating enzyme 5) (ThiFP1) (UFM1-activating enzyme) (Ubiquitin-activating enzyme E1 domain-containing protein 1)	
Q16763	UBE2S_HUMAN	Ubiquitin-conjugating enzyme E2 S (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme S) (E2-EPF) (Ubiquitin carrier protein S) (Ubiquitin-conjugating enzyme E2-24 kDa) (Ubiquitin-conjugating enzyme E2-EPF5) (Ubiquitin-protein ligase S)	
Q7Z6J8	UBE3D_HUMAN	E3 ubiquitin-protein ligase E3D (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase E3D) (UbcH10-binding protein with a HECT-like domain) (Ubiquitin-conjugating enzyme E2C-binding protein)	
E5RIL1	UPKL2_HUMAN	Uroplakin-3b-like protein 2	
Q9UK80	UBP21_HUMAN	Ubiquitin carboxyl-terminal hydrolase 21 (EC 3.4.19.12) (Deubiquitinating enzyme 21) (Ubiquitin thioesterase 21) (Ubiquitin-specific-processing protease 21)	DOMAIN 212..558;  /note="USP"
Q9HBJ7	UBP29_HUMAN	Ubiquitin carboxyl-terminal hydrolase 29 (EC 3.4.19.12) (Deubiquitinating enzyme 29) (Ubiquitin thioesterase 29) (Ubiquitin-specific-processing protease 29)	DOMAIN 285..885;  /note="USP"
Q86YH2	Z280B_HUMAN	Zinc finger protein 280B (5'OY11.1) (Suppressor of hairy wing homolog 2) (Zinc finger protein 279) (Zinc finger protein 632)	
